x_He,x_Ne,T_nom_K,P_Pa,P_MPa,rho_35C_kg_m3,lambda_W_mK,lambda_corr_35C_mW_mK
0.2172,0.7827999999999999,308.15,1530000.0,1.53,9.6,0.06372,63.72
0.2172,0.7827999999999999,308.15,2020000.0,2.02,12.61,0.06367,63.67
0.2172,0.7827999999999999,308.15,2710000.0,2.71,17.15,0.06393,63.93
0.2172,0.7827999999999999,308.15,3330000.0,3.33,21.14,0.06411,64.11
0.2172,0.7827999999999999,308.15,3630000.0,3.63,24.19,0.064,64.0
0.2172,0.7827999999999999,308.15,4430000.0,4.43,27.68,0.06447,64.47
0.2172,0.7827999999999999,308.15,5020000.0,5.02,31.54,0.06451000000000001,64.51
0.2172,0.7827999999999999,308.15,5740000.0,5.74,35.73,0.06470000000000001,64.7
0.2172,0.7827999999999999,308.15,6550000.0,6.55,40.72,0.06484000000000001,64.84
0.2172,0.7827999999999999,308.15,7530000.0,7.53,46.71,0.06545999999999999,65.46
0.4662,0.5338,308.15,2029999.9999999998,2.03,9.04,0.08363,83.63
0.4662,0.5338,308.15,2290000.0,2.29,10.99,0.08356,83.56
0.4662,0.5338,308.15,2600000.0,2.6,12.64,0.08381999999999999,83.82
0.4662,0.5338,308.15,3220000.0,3.22,15.51,0.08384,83.84
0.4662,0.5338,308.15,3910000.0,3.91,18.69,0.08386,83.86
0.4662,0.5338,308.15,4440000.0,4.44,21.2,0.08415,84.15
0.4662,0.5338,308.15,5050000.0,5.05,23.96,0.08443,84.43
0.4662,0.5338,308.15,5750000.0,5.75,27.19,0.08431999999999999,84.32
0.4662,0.5338,308.15,6530000.0,6.53,30.92,0.08469,84.69
0.4662,0.5338,308.15,7490000.0,7.49,35.45,0.08477,84.77
0.6823,0.3177,308.15,2110000.0,2.11,7.46,0.10751000000000001,107.51
0.6823,0.3177,308.15,2430000.0,2.43,8.67,0.10759,107.59
0.6823,0.3177,308.15,2780000.0,2.78,9.84,0.10769,107.69
0.6823,0.3177,308.15,3160000.0,3.16,11.2,0.10779999999999999,107.8
0.6823,0.3177,308.15,3590000.0,3.59,12.85,0.10790999999999999,107.91
0.6823,0.3177,308.15,4139999.9999999995,4.14,14.68,0.10784999999999999,107.85
0.6823,0.3177,308.15,4760000.0,4.76,16.87,0.10806,108.06
0.6823,0.3177,308.15,5530000.0,5.53,19.53,0.10833,108.33
0.6823,0.3177,308.15,6940000.0,6.94,21.96,0.1085,108.5
0.6823,0.3177,308.15,7490000.0,7.49,26.36,0.10912000000000001,109.12
0.7156,0.2844,308.15,2380000.0,2.38,7.05,0.11192,111.92
0.7156,0.2844,308.15,2750000.0,2.75,9.06,0.11212000000000001,112.12
0.7156,0.2844,308.15,3300000.0,3.3,10.92,0.11228,112.28
0.7156,0.2844,308.15,3980000.0,3.98,13.04,0.11252,112.52
0.7156,0.2844,308.15,4640000.0,4.64,15.18,0.11270999999999999,112.71
0.7156,0.2844,308.15,5740000.0,5.74,18.7,0.11303,113.03
0.7156,0.2844,308.15,6580000.0,6.58,21.39,0.11336,113.36
0.7156,0.2844,308.15,7630000.0,7.63,24.77,0.11381000000000001,113.81
